timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-20,127.83,129.22,127.5,128.37,128.37,1139718,0.0000,1.0
2023-04-19,126.47,128.68,126.22,128.11,128.11,1931702,0.0000,1.0
2023-04-18,127.49,128.69,126.61,126.65,126.65,1135581,0.0000,1.0
2023-04-17,123.98,127.0,123.77,126.87,126.87,1435866,0.0000,1.0
2023-04-14,123.88,124.84,122.45,123.6,123.6,843809,0.0000,1.0
2023-04-13,119.26,124.16,119.15,123.25,123.25,1538269,1.5000,1.0
2023-04-12,123.1,123.384,120.242,121.34,119.881002004008,1056383,0.0000,1.0
2023-04-11,120.99,123.255,120.51,122.18,120.710901803607,1183342,0.0000,1.0
2023-04-10,120.09,121.535,119.93,120.39,118.942424849699,918712,0.0000,1.0
2023-04-06,120.08,121.0,119.77,120.69,119.238817635271,1029840,0.0000,1.0
2023-04-05,121.0,121.56,119.58,120.21,118.764589178357,896473,0.0000,1.0
2023-04-04,122.7,123.24,119.24,121.34,119.881002004008,900826,0.0000,1.0
2023-04-03,121.88,123.355,121.48,122.69,121.214769539078,1476318,0.0000,1.0
2023-03-31,119.9,121.74,119.65,121.61,120.147755511022,1029242,0.0000,1.0
2023-03-30,119.04,119.59,118.115,118.61,117.183827655311,1368660,0.0000,1.0
2023-03-29,116.32,117.57,114.76,117.55,116.136573146293,1371666,0.0000,1.0
2023-03-28,114.63,116.654,114.63,115.74,114.348336673347,1048075,0.0000,1.0
2023-03-27,111.95,115.79,111.95,114.74,113.360360721443,1731648,0.0000,1.0
2023-03-24,110.94,111.2,109.0549,110.83,109.497374749499,2010008,0.0000,1.0
2023-03-23,113.8,114.22,110.3,111.14,109.803647294589,2062830,0.0000,1.0
2023-03-22,119.74,119.92,113.57,113.6,112.234068136273,2061074,0.0000,1.0
2023-03-21,119.91,120.82,119.135,119.79,118.349639278557,1289973,0.0000,1.0
2023-03-20,119.32,120.75,117.68,118.68,117.252985971944,1791740,0.0000,1.0
