ticker,name,is_etf,exchange
"PCG^D","Pacific Gas & Electric Co.","null","AMEX"
"PCG^E","Pacific Gas & Electric Co.","null","AMEX"
"PCG^G","Pacific Gas & Electric Co.","null","AMEX"
"PCG^H","Pacific Gas & Electric Co.","null","AMEX"
"PCG^I","Pacific Gas & Electric Co.","null","AMEX"
"PED","Pedevco Corp.","null","AMEX"
"PFNX","Pfenex Inc.","null","AMEX"
"PLAG","Planet Green Holdings Corp","null","AMEX"
"PLG","Platinum Group Metals Ltd.","null","AMEX"
"PLM","Polymet Mining Corp.","null","AMEX"
"PLX","Protalix BioTherapeutics, Inc.","null","AMEX"
"PLYM","Plymouth Industrial REIT, Inc.","null","AMEX"
"PLYM^A","Plymouth Industrial REIT, Inc.","null","AMEX"
"PRK","Park National Corporation","null","AMEX"
"PTN","Palatin Technologies, Inc.","null","AMEX"
"PW","Power REIT","null","AMEX"
"PW^A","Power REIT","null","AMEX"
"PZG","Paramount Gold Nevada Corp.","null","AMEX"
"RCG","RENN Fund, Inc.","null","AMEX"
"REI","Ring Energy, Inc.","null","AMEX"
"RFL","Rafael Holdings, Inc.","null","AMEX"
"RHE","Regional Health Properties, Inc.","null","AMEX"
"RHE^A","Regional Health Properties, Inc.","null","AMEX"
"RIF","RMR Real Estate Income Fund","null","AMEX"
"RLGT","Radiant Logistics, Inc.","null","AMEX"
"ROX","Castle Brands, Inc.","null","AMEX"
"RVP","Retractable Technologies, Inc.","null","AMEX"
"SACH","Sachem Capital Corp.","null","AMEX"
"SAND          ","Sandstorm Gold Ltd","null","AMEX"
"SCCB","Sachem Capital Corp.","null","AMEX"
"SCE^B","Southern California Edison Company","null","AMEX"
"SCE^C","Southern California Edison Company","null","AMEX"
"SCE^D","Southern California Edison Company","null","AMEX"
"SCE^E","Southern California Edison Company","null","AMEX"
"SDI","Standard Diversified Inc.","null","AMEX"
"SDPI","Superior Drilling Products, Inc.","null","AMEX"
"SEB","Seaboard Corporation","null","AMEX"
"SENS","Senseonics Holdings, Inc.","null","AMEX"
"SGB","Southwest Georgia Financial Corporation","null","AMEX"
